,sim_vec_file,model,performance
0,www.ebay.com_www.priceme.co.nz.csv,Original cluster model www.ebay.com_www.priceme.co.nz.csv,0.8776371308016878
1,buy.net_www.ebay.com.csv,Original cluster model www.buzzillions.com_www.ebay.com.csv,0.8783068783068783
2,www.eglobalcentral.co.uk_www.priceme.co.nz.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.9333333333333333
3,www.camerafarm.com.au_www.henrys.com.csv,Original cluster model buy.net_www.camerafarm.com.au.csv,0.9387755102040816
4,buy.net_cammarkt.com.csv,Original cluster model buy.net_cammarkt.com.csv,0.9361702127659575
5,www.buzzillions.com_www.pcconnection.com.csv,Original cluster model www.buzzillions.com_www.pcconnection.com.csv,0.8571428571428571
6,www.ebay.com_www.henrys.com.csv,Original cluster model www.buzzillions.com_www.ebay.com.csv,0.7852760736196318
7,www.shopbot.com.au_www.price-hunt.com.csv,Original cluster model buy.net_www.shopbot.com.au.csv,0.7638888888888888
8,www.wexphotographic.com_www.price-hunt.com.csv,Original cluster model www.wexphotographic.com_www.henrys.com.csv,0.7954545454545454
9,cammarkt.com_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,1.0
10,www.ebay.com_www.eglobalcentral.co.uk.csv,Original cluster model www.ebay.com_www.shopbot.com.au.csv,0.8524590163934426
11,www.buzzillions.com_www.price-hunt.com.csv,Original cluster model www.buzzillions.com_buy.net.csv,0.8468468468468469
12,www.garricks.com.au_www.eglobalcentral.co.uk.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.9841269841269841
13,www.price-hunt.com_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.7755102040816326
14,www.gosale.com_www.eglobalcentral.co.uk.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.923076923076923
15,www.garricks.com.au_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.9
16,www.camerafarm.com.au_www.pcconnection.com.csv,Original cluster model www.shopbot.com.au_www.henrys.com.csv,0.8125000000000001
17,www.garricks.com.au_www.henrys.com.csv,Original cluster model buy.net_www.garricks.com.au.csv,0.8235294117647058
18,www.canon-europe.com_www.eglobalcentral.co.uk.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.6153846153846154
19,www.canon-europe.com_www.shopbot.com.au.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.721311475409836
20,www.garricks.com.au_www.ilgs.net.csv,Original cluster model buy.net_www.garricks.com.au.csv,0.7692307692307693
21,buy.net_www.canon-europe.com.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.888888888888889
22,www.ilgs.net_www.gosale.com.csv,Original cluster model www.ebay.com_www.gosale.com.csv,0.75
23,www.priceme.co.nz_www.pcconnection.com.csv,Original cluster model www.buzzillions.com_www.priceme.co.nz.csv,0.9516129032258065
24,www.garricks.com.au_www.price-hunt.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.7755102040816326
25,www.wexphotographic.com_www.priceme.co.nz.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.8727272727272727
26,www.gosale.com_www.price-hunt.com.csv,Original cluster model buy.net_www.gosale.com.csv,0.7850467289719627
27,www.shopbot.com.au_cammarkt.com.csv,Original cluster model www.shopbot.com.au_www.eglobalcentral.co.uk.csv,0.9142857142857143
28,www.canon-europe.com_www.wexphotographic.com.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,1.0
29,www.gosale.com_www.pcconnection.com.csv,Original cluster model www.buzzillions.com_www.priceme.co.nz.csv,0.9690721649484536
30,www.ilgs.net_www.eglobalcentral.co.uk.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.5945945945945946
31,buy.net_www.ilgs.net.csv,Original cluster model buy.net_www.price-hunt.com.csv,0.8813559322033899
32,www.canon-europe.com_www.pcconnection.com.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.5
